dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563656,2009,La didattica del disegno nei corsi di laurea in design. Giornata di studio. 27 maggio 2009.,"AMORUSO, GIUSEPPE;BISTAGNINO, ENRICA;BREVI, FAUSTO;CECONELLO, MAURO ATTILIO;COCCHIARELLA, LUIGI;GUIDI, GABRIELE;PIERLUISI, GABRIELE;ROSSI, MICHELA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563672,2009,AD HONOREM,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563711,2009,Giardino comanda color,"MAZZANTI, ANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563723,2009,"Mobili e Collaborativi. Telefoni mobili, servizi digitali, e dinamizzazione socioculturale.","MANZINI, EZIO;PILLAN, MARGHERITA;BUGANZA, TOMMASO;G. Ferri;BIANCHINI, MASSIMO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563857,2009,Designing Designers: Office and  Workplaces for Knowledge workers,"SCULLICA, FRANCESCO;SCHOONBRODT, ANNE HUBERT EUGENIE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/564066,2009,Opening Soon,"COLLINA, LUISA MARIA VIRGINIA;L. Pollini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/564221,2009,Made in Cassina (ed. fr.),"BOSONI, GIAMPIERO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/564563,2009,"Nullaosta. Grafica, confini, relazioni","GUIDA, FRANCESCO ERMANNO;G. CHIA;L. ROSCINI;M. SIGNORILE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/568386,2009,Mendini,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/568390,2009,Angelo Mangiarotti. Scolpire/Costruire,"FINESSI, GIUSEPPE"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/691257,2009,"III Congreso Internacional de Sinestesia, Ciencia y Arte","M. J. De Córdoba;E. M. Hubbard;RICCO', DINA;S. A. Day"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563379,2010,IndossaME. Il design e le tecnologie indossabili,"CANINA, MARIA RITA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/573359,2010,Argomenti di ergonomia. Un glossario (Vol. 2),"PIZZOCARO, SILVIA LUISA;FIGIANI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/574067,2010,"AdvanceDesign. Visioni, percorsi e strumenti per predisporsi all'innovazione continua.","CELI, MANUELA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/574885,2010,MetaModa. Percorsi di ricerca per il design del prodotto moda,"BERTOLA, PAOLA;COLOMBI, CHIARA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/574951,2010,Notes on Doctoral Research in Design. Contributions from the Politecnico di Milano,"GUERRINI, LUCA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/575286,2010,Codex Atlanticus. Macchine per l'architettura e il territorio. Disegni di Leonardo dal Codice Atlantico,"MARANI, PIETRO;CORDERA, PAOLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/575288,2010,Leonardo da Vinci. Il Musico,"MARANI, PIETRO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/578005,2010,"Sustainability in design: now! Challenges and opportunities for design research, education and practice in the XXI century.","CESCHIN, FABRIZIO;VEZZOLI, CARLO ARNALDO;J. Zhang"
