dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563541,eng,2009,Esperti anonimi,internazionale,Korean Society of Design Science,Seoul,KOR,2009 IASDR Conference Proceedings. Design / Rigor & Relevance,-,-,Seoul,IASDR2009,,Mass customization; product configuration; product architecture; design methods,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"DESERTI, ALESSANDRO;QIAN, XIAOBO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563564,eng,2009,-,internazionale,-,-,-,-,-,-,Eskisehir - Turkey,Imece2009,,Art; Craftmaship; Design process,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"DESERTI, ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563581,eng,2009,-,internazionale,-,Barcellona,-,-,-,-,Barcellona,"EduLearn 2009, International Conference of Education and new learning technologies.",,Keywords -  Metadesign; creativity; collaborative learning; team-building; boosting,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CELI, MANUELA;RAMPONI, FEDERICO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563601,ita,2009,-,nazionale,Franco Angeli,Milano,-,"Trasporti, Territiorio e Ambiente. La ricerca di un nuovo equilibrio",-,-,Sassari,X Conferenza SIET,,-,04.1 Contributo in Atti di convegno,none,2,"BERIA, PAOLO;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563604,eng,2009,-,internazionale,-,-,-,-,-,-,Brussels (BE),2nd Annual Conference of Competition and Regulation in Network Industries (CRNI),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BERIA, PAOLO;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563663,eng,2009,-,internazionale,-,-,GBR,-,-,-,"Aberdeen, Scotland, Great Britain","Design Connexity, Eighhth International Conference ot the European Academy of Design",,Interaction Design; Game Design; Design Process; Computer Graphics; Digital Animation,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"PILLAN, MARGHERITA;BERTOLO, MARESA;AUREGGI, MARCO GIANCARLO;DE LUCA, VANESSA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563702,eng,2009,Esperti anonimi,internazionale,-,-,-,edulearn09 proceedings,-,-,Barcellona,EDULearn09 International Conference on Education and New Learning Technologies,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,1,"BIAMONTI, ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563752,eng,2009,-,internazionale,-,-,-,-,-,-,"Melbourne, Australia",Cumulus 38°s 2009 : Hemispheric shifts across learning teaching and research,,-,04.1 Contributo in Atti di convegno,none,2,"FASSI, DAVIDE;GIUNTA, ELENA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563763,eng;ita,2009,-,internazionale,Editrice Compositori,-,ITA,Designing Connected Places,-,-,--,--,,progetto della sicurezza; spazio pubblico urbano; law and order; environmental prevention; social prevention; international summer school; torino world design capital 2008,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"SPAGNOLI, ALESSANDRA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563782,eng,2009,-,internazionale,-,-,-,-,-,-,Valencia,INTED2009 Proceedings CD,,-,04.1 Contributo in Atti di convegno,none,3,"ROMERO, MAXIMILIANO ERNESTO;GONG, MIAOSEN;COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563783,eng,2009,-,internazionale,-,-,-,-,-,-,Valencia,INTED2009 Proceedings CD,,-,04.1 Contributo in Atti di convegno,none,4,"Caroline Martins de Assis;ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;ANDREONI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563786,eng,2009,-,internazionale,-,-,-,-,-,-,Madrid,ICERI2009,,-,04.1 Contributo in Atti di convegno,none,4,"ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;Anil Ilgaz;ARSLAN, PELIN"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563791,eng,2009,-,internazionale,-,-,-,-,-,-,Soeul,IASDR 2009,,-,04.1 Contributo in Atti di convegno,none,6,"NAM, HYOJIN GINA;COSTA, FIAMMETTA CARLA ENRICA;ANDREONI, GIUSEPPE;Federica Saviotti;Lucia Turco;Youngkwang Cho"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563806,eng,2009,-,internazionale,-,-,-,"Cumulus 38° South, 12-14 November: Hemispheric Shifts Across Learning, Teaching and Research",-,-,Melbourne,978-1-921426-52-0,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"L. Brenna;LUPO, ELEONORA;SEASSARO, ALBERTO;TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563839,eng,2009,-,internazionale,-,-,-,-,-,-,"Pico Island, Azores, Portugal","Sharing Cultures 2009, international Conference on Intangible Heritage",,-,04.1 Contributo in Atti di convegno,none,1,"LUPO, ELEONORA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563856,eng;ita,2009,-,nazionale,-,-,-,-,-,-,Venezia Marghera,L’orizzonte sostenibile tra mare e cielo,,-,04.1 Contributo in Atti di convegno,none,1,"RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563866,eng,2009,-,internazionale,-,-,-,-,-,-,Beijing,D2B2: Tsinghua International Design Management Symposium,,-,04.1 Contributo in Atti di convegno,none,3,"ARQUILLA, VENANZIO;SEMINARA, DANIELA MARIA ROSA;ZURLO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563876,eng,2009,"Sì, ma tipo non specificato",internazionale,"International Association of Technology, Education and Development (IATED)",-,ESP,"Proceedings of INTED2009 Conference. 9-11 March 2009, Valencia, Spain.",-,-,"Valencia, Spain","International Technology, Education and Development Conference. INTED2009 Conference",,"Education; Innovation; Research projects; Teaching Methodologies; Academic experiences; Practice
contributions; Communication Design; Colour Design; Sound Design; Environmental Design.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CALABI, DANIELA ANNA;BISSON, MARIO;CHIODO, ELISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/563928,eng,2009,-,internazionale,-,-,-,INTED2009 Proceedings CD ,-,-,Valencia (Spain),"INTED 2009 International Tecnology, Education and Development Conference.",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"PARENTE, MARINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/564008,ita,2009,-,nazionale,-,-,-,La didattica del disegno nei corsi di laurea in design,-,-,Milano,La didattica del disegno nei corsi di laurea in design,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"CECONELLO, MAURO ATTILIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/564022,eng,2009,-,internazionale,-,-,-,-,-,-,"Chalon-sur-Saône, France",ASME/AFM 2009 World Conference on Innovative Virtual Reality,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"PIGNATEL, ALICE;BREVI, FAUSTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/564482,eng,2009,Esperti anonimi,internazionale,acm,new york,USA,IEEE\WIC\ACM International Conference on Web Intelligence,-,ELETTRONICO,"Milan, ITALY","IEEE/WIC/ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technologies, Web2Touch Workshop 2009",,INF,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"CONTI, GIOVANNI MARIA;RIZZO, FRANCESCA;FUGINI, MARIAGRAZIA;C. Raibulet;L. Ubezio"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/565142,eng,2009,-,internazionale,-,-,-,-,-,-,Melbourne,"Cumulus 38° S. Hemispheric shifts across learning, teaching and researching",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"BRENNA, LUIGI PAOLO;LUPO, ELEONORA;SEASSARO, ALBERTO;TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/565260,eng,2009,-,internazionale,-,-,-,-,-,-,Glasgow,Triple Helix VII International Conference,,-,04.1 Contributo in Atti di convegno,none,4,"BIANCHI, MATTIA;CAMPODALL'ORTO, SERGIO;FRATTINI, FEDERICO;VERCESI, PAOLO EMILIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/567284,eng,2009,-,internazionale,-,-,-,-,-,-,Seoul,IFESS 2009,,-,04.1 Contributo in Atti di convegno,none,8,"FERRANTE, SIMONA;F. Pisana;PARINI, SERGIO;MAGGI, LUCA;PEREGO, PAOLO;ANDREONI, GIUSEPPE;FERRIGNO, GIANCARLO;PEDROCCHI, ALESSANDRA LAURA GIULIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/567798,ita,2009,-,internazionale,Signum,Novate,ITA,"Leopoldo Pollack e la sua famiglia. Cantiere, formazione e professione tra Austria, Italia e Ungheria",-,-,Milano,"Leopoldo Pollack e la sua famiglia. Cantiere, formazione e professione tra Austria, Italia e Ungheria",,-,04.1 Contributo in Atti di convegno,none,1,"CORDERA, PAOLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/571594,eng,2009,-,internazionale,-,-,-,-,-,-,Madrid,"International Conference of Education, Research and Innovation, ICERI 2009",,-,04.1 Contributo in Atti di convegno,none,8,"BENEDETTO S;BERNELLI ZAZZERA, FRANCO;BERTOLA, PAOLA;CANTAMESSA M.;CERI, STEFANO;RANCI ORTIGOSA, COSTANZO;SPAZIANTE A;ZANINO R."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/572183,eng,2009,-,internazionale,-,-,-,-,-,-,"Williamsburg, Virginia (USA)",37th Annual International Conference on Computer Applications and Quantitative Methods in Archeology (CAA) - Making History Interactive,,Virtual reality; 3D visualization; real time rendering,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"PIGNATEL, ALICE;BREVI, FAUSTO;ERCOLI, SEBASTIANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/572637,eng,2009,Esperti anonimi,internazionale,University of Art and Design Helsinki,Helsinki,-,Cumulus Working Papers – Saint Etienne,-,-,Saint Etienne,Cumulus Conference Saint Etienne 2008. Design & Research,,Service Design; Design for Regional Planning,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"MERONI, ANNA;SIMEONE, GIULIA;TRAPANI, PAOLA MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/605683,eng,2009,-,internazionale,Ediciones Fundación Internacional Artecittà,Granada,-,"3. Congreso Internacional de Sinestesia, Ciencia y Arte",-,-,Granada,III Congreso Internacional de Sinestesia,,synesthesia; mental imagery; visual communication; graphic design; music,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"RICCO', DINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/683453,eng,2009,-,internazionale,-,-,-,-,-,-,"San Diego, CA, USA",HCI International 2009,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,6,"ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;ANDREONI, GIUSEPPE;MAZZOLA, MARCO;J. Vargas;L. Conenna"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/864135,eng,2009,Esperti anonimi,internazionale,Ertico - ITS America,Stoccolma,SWE,Proceedings of the 16th ITS World Congress in Stockholm,-,-,Stoccolma,16th ITS World Congress,,ITS EVALUATION,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,4,"STUDER, LUCA PASINO;Marco Cecchetto;MARCHIONNI, GIOVANNA;PONTI, MARCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/968583,eng,2009,Esperti anonimi,internazionale,-,-,GBR,Design Connexity - 8th International Conference of the European Academy of Design,-,-,Aberdeen,8th European Academy Of Design Conference,,"Service Design, Service Design research",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,1,"SANGIORGI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/968584,eng,2009,Esperti anonimi,internazionale,-,-,SWE,"CONFERENCE PROCEEDINGS ServDes.2009 DeThinking Service, ReThinking Design",-,ELETTRONICO,Oslo,First Nordic Conference on Service Design and Service Innovation,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,5,"Carr, Valerie;SANGIORGI, DANIELA;Büscher, Monika;Cooper, Rachel;Junginger, Sabine"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/968585,eng,2009,Esperti anonimi,internazionale,-,-,KOR,International Association of Societies of Design Research 2009,-,ELETTRONICO,Seoul,International Association of Societies of Design Research,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"Junginger, Sabine;SANGIORGI, DANIELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/977795,eng,2009,-,internazionale,Et al.,Lugano,CHE,Multiple ways to design research,-,-,Lugano,Multiple ways to design research,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"SALVIA, GIUSEPPE;ROGNOLI, VALENTINA;LEVI, MARINELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1041006,ita,2010,Comitato scientifico,internazionale,Maggioli Editore,Milano,ITA,Colore e colorimetria. Contributi multidisciplinari,-,STAMPA,Lecce,Sesta Conferenza Nazionale del Colore,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,P. Visconti
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1041011,eng,2010,Comitato scientifico,internazionale,Greenleaf Publishing Limited,UK,GBR,"Sustainability in Design: Now! Challenges and Opportunities for Design Research, Education and Practice in the XXI Century | Vol. II",-,ELETTRONICO,Bangalore,"Lens conference. Sustainability in design: now! Challenges and Opportunities for Design Research, Education and Practice in the XXI Century",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,P. Visconti
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1053020,eng,2010,Comitato scientifico,internazionale,CEUR,-,-,Proceedings of the 2nd International Workshop on Knowledge Federation,-,-,"Dubrovnik, Croatia",Second International Workshop on  Knowledge Federation,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,M. Quaggiotto
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1053022,eng,2010,-,internazionale,Design Research Society,Montreal,-,DRS 2010 International Conference Proceedings: Design and Complexity,-,-,Montreal,DRS2010: Design and Complexity,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,M. Quaggiotto
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/571026,ita,2010,-,nazionale,Franco Angeli,Milano,ITA,"Trasporti, Logistica e reti di imprese. Competitività del sistema e ricadute sul territorio",-,-,Trieste,XI Riunione Scientifica Annuale della Società Italiana di Economia dei Trasporti e della Logistica (SIET),,-,04.1 Contributo in Atti di convegno,-,1,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/571785,fra;eng;ita,2010,-,internazionale,Leo S. Olschki,Firenze,ITA,La Civiltà delle acque tra Medioevo e Rinascimento,-,-,"Mantova, Centro Studi Leon Battista Alberti",La Civiltà delle acque tra Medioevo e Rinascimento,,Idraulica; Medioevo; Rinascimento; Leonardo; Lombardia,04.1 Contributo in Atti di convegno,none,2,"MARANI, PIETRO;Pietro C."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/572316,eng,2010,-,internazionale,-,-,-,-,-,-,Barcelona,International Conference on Education and New Learning Technologies,,Design; project methodology; education; conceptual tools.,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/573811,eng,2010,-,internazionale,-,-,AUS,-,-,-,Sidney,CONNECTED 2010: 2nd International Conference on Design Education,,Experimental Teaching; Interior Design; Design Education,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"PIARDI, SILVIA ELVIRA MARIA;A. Ponzio;PADOVA, PAOLO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/574041,eng,2010,-,internazionale,-,-,AUS,-,-,-,Sydney,ConnectED2010 International Conference on Design Education,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"FERRARIS, SILVIA DEBORAH;RAMPINO, LUCIA ROSA ELENA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/574154,eng,2010,Nessuno,internazionale,-,-,USA,Proceeding of 16th International Conference on Virtual Systems and Multimedia (VSMM2010),-,-,"Seoul, Korea",16th International Conference on Virtual Systems and Multimedia (VSMM2010),,realtà virtuale; museo del design; fruizione; Analytical models; Animation; Art; Cultural differences; Materials; Solid modeling; Three dimensional displays; design museum concept; interactive fruition; multimedia materials; virtual models; virtual museum; design; museums; virtual reality; 3D acquisition and modeling; Museum exploitation; Storytelling,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"GUIDI, GABRIELE;TROCCHIANESI, RAFFAELLA;PILS, GIULIA;MORLANDO, GIORGIA;SEASSARO, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/574158,eng,2010,-,internazionale,-,-,-,-,-,-,"UNSW – The University of New South Wales, Sydney, Australia",The 2nd ConnectED International Conference on Design Education,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CANINA, MARIA RITA;FERRARO, VENERE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/574159,eng,2010,-,internazionale,-,-,-,-,-,-,"UNSW – The University of New South Wales, Sydney, Australia",The 2nd ConnectED International Conference on Design Education,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ANSELMI, LAURA;CANINA, MARIA RITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/574166,eng,2010,-,internazionale,"International Association of Technology, Education and Development (IATED)","Valencia, Spain",ESP,Edulearn 2010 Conference Proceedings,-,-,Barcellona,Edulearn 10 International Conference on Education and New Learning Technologies,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"CARATTI, ELENA"
