title,year,authors,internalAuthors,externalAuthors
H a n d s t o r i e s o f i t a l y.  the burano’s jacket. how fashion designers can use the territory to develop a collection.,2017,Conti giovanni maria;Gaddi rossana;Motta martina,Conti giovanni maria;Gaddi rossana;Motta martina
Castione della presolana (bergamo): le due case sorelle di gio ponti,2015,Ciaga' graziella leyla,Ciaga' graziella leyla
Blue economy dentro casa,2016,Ceppi giulio;L'impresa  ,Ceppi giulio;L'impresa  
"Il "" diritto al piacere"", una sfida per il paese",2017,Ceppi giulio;L'impresa  ,Ceppi giulio;L'impresa  
La premessa necessaria: muoversi in un mondo in continuo movimento.,2016,Ceppi giulio,Ceppi giulio
"Archeologia del cenacolo. ricostruzioni e fortuna dell'icona leonardesca: disegni, incisioni, fotografie",2017,Marani pietro cesare;Mori g.,Marani pietro cesare,Mori g.
Archeologia e fortuna del cenacolo di leonardo,2017,Marani pietro cesare,Marani pietro cesare
Celebrare l'interdisciplinarietà,2017,Ceppi giulio,Ceppi giulio
Design for sustainability for all: now and everywhere! the learning network on sustainability,2017,Vezzoli carlo arnaldo;Basbolat c.;Memoria ecodal  ,Vezzoli carlo arnaldo;Memoria ecodal  ,Basbolat c.
"Probing design. the outcomes of doctoral research at politecnico di milano, year 2017",2017,Guerrini luca;Biamonti alessandro,Guerrini luca;Biamonti alessandro
Spazio pubblico e attrattività urbana. l'isola e le sue piazze,2016,Bruzzese maria antonella;Gerosa giulia maria;Tamini luca;Innovazione e spazio urbano  ,Bruzzese maria antonella;Gerosa giulia maria;Tamini luca;Innovazione e spazio urbano  
Campus: “lab” and “window” for distributed renewable energy applied as sustainable product-service system,2016,Vezzoli carlo arnaldo;Piardi silvia elvira maria,Vezzoli carlo arnaldo;Piardi silvia elvira maria
Wandering through the time of the city. real and virtual milanese itineraries,2016,Iarossi maria pompeiana;Conte sara;Rossini matilde,Iarossi maria pompeiana;Conte sara,Rossini matilde
Less material / more intelligence,2016,Crippa davide;Di prete barbara,Crippa davide;Di prete barbara
Urban interior design: strategies for public living spaces,2016,Di prete barbara,Di prete barbara
E-urbanism: strategies to develop a new urban interior design,2016,Crippa davide;Di prete barbara;Lonardo emilio;Idea  ,Crippa davide;Di prete barbara;Lonardo emilio;Idea  
Il design e gli interni di franco albini,2016,Bucci federico;Bosoni giampiero,Bucci federico;Bosoni giampiero
Materially yours,2017,Karana elvin;Giaccardi elisa;Rognoli valentina,Rognoli valentina,Karana elvin;Giaccardi elisa
"Creative industries: cultural and territorial development model?  pilots, demos and experiment case",2016,Gaddi rossana,Gaddi rossana
Mapping the territory for cultural development. the methodological assumptions of artificio project,2017,Gaddi rossana;Pad  ,Gaddi rossana;Pad  
"Teaching materials in design: three approaches from three universities (italy, the netherlands, and turkey)",2013,Karana e.;Rognoli valentina;Pedgely o.,Rognoli valentina,Karana e.;Pedgely o.
Traduzioni artefattuali. le molteplici forme della traduzione progettuale.,2016,Penati antonella valeria,Penati antonella valeria
Studying multicultural diversity of cities and neighborhoods through social media language detection,2016,Arnaboldi michela;Brambilla marco;Cassottana beatrice;Ciuccarelli paolo;Ripamonti davide maria filippo;Vantini simone;Volonterio riccardo,Arnaboldi michela;Brambilla marco;Cassottana beatrice;Ciuccarelli paolo;Ripamonti davide maria filippo;Vantini simone;Volonterio riccardo
"Realtà e illusione nell’architettura dipinta. quadraturismo e decorazione pittorica nella provincia e antica diocesi di como (comasco, ticino, valtellina)",2016,De paolis roberto,De paolis roberto
Flash art,2017,Cappellieri alba;Flash art  ,Cappellieri alba;Flash art  
Design for children,2017,Cappellieri alba;Il giornale dell'architettura  ,Cappellieri alba;Il giornale dell'architettura  
Umanesimo contemporaneo,2016,Feraboli maria teresa;Quaderni del c.a.s.v.a  ,Feraboli maria teresa;Quaderni del c.a.s.v.a  
"I ""libretti"" della gregotti associati. una selezione",2016,Feraboli maria teresa;Quaderni del c.a.s.v.a  ,Feraboli maria teresa;Quaderni del c.a.s.v.a  
Hidden public spaces: when a university campus becomes a place fro communities,2016,Fassi davide;Galluzzo laura;Rogel l.;Proceedings of drs  ,Fassi davide;Galluzzo laura;Proceedings of drs  ,Rogel l.
Interior design and social science. an applied research on the places caring and hosting asylum seekers and refugees in the city of milan.,2016,Giunta elena enrica;Rainisio nicola;Rebaglio agnese,Giunta elena enrica;Rebaglio agnese,Rainisio nicola
"Clino trini castelli, la pratica della lungimiranza - the practice of foresight",2016,Bosoni giampiero;Abitare  ,Bosoni giampiero;Abitare  
Le mutazioni del contract - the changing contract sector,2016,Bosoni giampiero;Domus  ,Bosoni giampiero;Domus  
