dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2005,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/667397,-0,"Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia","Antalya, Turkey",-0,3,-0,eng,Europan association-city of antalya,Concorso Internazionale Europan 8,E. Avallone; G. Forte; G. Pierluisi,-0
-0,2006,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958790,-0,René Magritte. L'impero delle luci,-0,-0,2,info:eu-repo/semantics/openAccess,ita,-0,-0,R.Gaddi; C.Mariani,-0
-0,2006,07 ALTRO::07.05 Esposizione,-0,-0,07.05 Esposizione,-0,http://hdl.handle.net/11311/690252,-0,New Italian Design,-0,Design italiano; Design; Allestimenti; Interni,3,info:eu-repo/semantics/closedAccess,ita;eng,-0,-0,Branzi A.; Biamonti A.; Macchi D.,-0
-0,2006,07 ALTRO::07.06 Mostra,-0,-0,-0,-0,http://hdl.handle.net/11311/758849,-0,Texture & Materials – Urban Light Walk,-0,-0,1,none,-0,-0,-0,G. Gerosa,-0
-0,2006,07 ALTRO::07.12 Altro,nazionale,-0,-0,-0,http://hdl.handle.net/11311/252025,-0,Puntare sulla gente per vendere di più,-0,-0,1,none,-0,-0,-0,F. Zurlo,-0
-0,2006,07 ALTRO::07.12 Altro,nazionale,-0,07.12 Altro,-0,http://hdl.handle.net/11311/268468,-0,New Entertainment e Design Strategico,-0,-0,1,-0,-0,-0,-0,F. Zurlo,-0
-0,2006,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/533312,-0,A.D.A. Archivio Digitale di Architettura,-0,-0,7,none,-0,-0,-0,R.MINGUCCI; G. AMORUSO; R. INGLESE; A. MARATA; G.BACCI; C.BARTOLOMEI; D. ANGELILLO,-0
-0,2006,07 ALTRO::07.12 Altro,nazionale,Magazine online,07.12 Altro,-0,http://hdl.handle.net/11311/533523,-0,Moda e Design: Cross Fertilization per l'innovazione,-0,-0,2,none,ita,-0,-0,G. CONTI; P. BERTOLA,-0
-0,2006,07 ALTRO::07.12 Altro,nazionale,"D.A. DYNAMICAIR, la rivista per superare le barriere culturali",07.12 Altro,-0,http://hdl.handle.net/11311/533556,-0,Fit-Suit: Biodesign per l’idrokinesiterapia,-0,-0,2,none,ita,-0,-0,M. CANINA; VENERE FERRARO,-0
-0,2006,07 ALTRO::07.12 Altro,nazionale,Relazione interna per il Min. dei Trasporti,07.12 Altro,-0,http://hdl.handle.net/11311/533711,-0,Il trasporto delle merci pericolose in galleria,-0,-0,4,none,ita,-0,-0,R. MAJA; RAINOLDI G; ROMAN D; SALIMBENI R,-0
-0,2006,07 ALTRO::07.12 Altro,internazionale,"Deliverable for The Alpine Convention, Transport Workgroup",07.12 Altro,-0,http://hdl.handle.net/11311/533712,-0,External Cost Assessment In Transalpine Corridors,-0,-0,2,-0,eng,-0,-0,R. MAJA; D. ROMANO',-0
