dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,ita,2,"RICERCA, DESIGN E SPERIMENTAZIONE PER L'INNOVAZIONE DI PRODOTTO NEL SETTORE DELL'ACCESSORIO MODA",A.CAPPELLIERI; P.BERTOLA,-0,EDIZIONI POLIDESIGN,-0,2002,http://hdl.handle.net/11311/549795,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,4,Innovare con il Design: il caso del settore dell’illuminazione in Italia,F. Zurlo; R. Cagliano; G. Simonelli; R. Verganti,-0,Il Sole 24 Ore,-0,2002,http://hdl.handle.net/11311/556908,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,3,Tecnologie informatiche e utenza debole,G. Andreoni; F. Costa; P. Landoni,-0,Il Sole 24 Ore,-0,2002,http://hdl.handle.net/11311/557058,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,1,Health Care Design. Il contributo del design nei processi di innovazione nel settore biomedicale,F. Costa,-0,Poli.Design,-0,2002,http://hdl.handle.net/11311/557074,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,03.1 Monografia o trattato scientifico,human factors; space design; user-centered-design,eng;ita,1,INDUSTRIAL DESIGN FOR SPACE,A. Dominoni,-0,Silvana Editoriale,-0,2002,http://hdl.handle.net/11311/631008,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,-0,-0,-0,1,La fabbrica dei significati solidi. Indagine sulla cultura della scienza,P. VOLONTE',-0,FrancoAngeli,-0,2003,http://hdl.handle.net/11311/504073,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,i luoghi dell'interazione. il progetto del controllo e del comando,M. BISSON,-0,italian univesity press,ITA,2003,http://hdl.handle.net/11311/504296,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,PAVIA,nazionale
-0,03.1 Monografia o trattato scientifico,-0,eng,7,TRANS-ALPS A Transport model for decisions on Traffic Management Plans,L. STUDER; ARDITI R; MAJA R; PONTI M; SALA G; VERONESI E; JAVICOLI A,-0,-0,-0,2003,http://hdl.handle.net/11311/504429,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,internazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Progettare e costruire imbarcazioni da diporto. Esperienze del Master in Yacht Design del POlitecnico di Milano,S. PIARDI,-0,Clup,ITA,2003,http://hdl.handle.net/11311/504442,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,7,TRANS-ALPS A Transport model for decisions on Traffic Management Plans,STUDER L.; ARDITI R.; JAVICOLI A.; R. MAJA; PONTI M.; SALA G.; VERONESI E.,-0,-0,ITA,2003,http://hdl.handle.net/11311/505256,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,-0,internazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,1,Texture design. Un percorso basic,D. CALABI,STAMPA,Libreria CLUP scrl,ITA,2003,http://hdl.handle.net/11311/505273,"TEXTURE DESIGN, BASIC DESIGN, COMUNICAZIONE VISIVA, PERCEZIONE APTICA",info:eu-repo/semantics/openAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Metaprogetto. Riflessioni teoriche ed esperienze didattiche,A. Deserti,-0,Poli.design,-0,2003,http://hdl.handle.net/11311/555791,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
-0,-0,-0,-0,1,Design e Innovazione di sistema nel settore alimentare: una ricerca progettuale,A. Meroni,-0,Edizioni Polidesign,-0,2003,http://hdl.handle.net/11311/555809,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,03.1 Monografia o trattato scientifico,Design dei servizi; design dell'interazione; user centred design; tecnologie digitali; comunicazione.,ita,2,Costruire servizi digitali,M. Pillan; S. Sancassani,-0,APOGEO,-0,2003,http://hdl.handle.net/11311/555841,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Quale qualità? Cosa si intende per qualità d'uso e come è possibile verificarla,L. Anselmi,-0,Poli.Design,-0,2003,http://hdl.handle.net/11311/555909,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,nazionale
