dc.type.full	dc.identifier.uri	dc.date.issued	dc.title	dc.authority.people	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585673	2010	Light for a new product identity	TURINETTO, MARCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585674	2010	Lighting ethics, enviroment	TURINETTO, MARCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585675	2010	Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?	TURINETTO, MARCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585676	2010	On living well in today's enviroments	TURINETTO, MARCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/692963	2010	A Moda projectada	COLOMBI, CHIARA	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/583357	2010	100 virtuous cities	PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/583358	2010	100 virtuous cities	PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640515	2010	Parquet Medoc	DE LUCCHI, MICHELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/662288	2010	Il progetto illuminotecnico per la Mostra di Hopper a Roma	MURANO, FRANCESCO	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693098	2010	"CONCORSO D’IDEE
PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI"	GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;D. Prinzo	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693100	2010	Concorso di idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili	GEROSA, GIULIA MARIA;G. LAssandro;D. Fumagalli;D. Prinzo	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958783	2011	Boldini e la Belle Epoque	GADDI, ROSSANA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/766135	2011	Autoproduzioni Italiane	MAFFEI, STEFANO;GIANNI, ANDREA ENRICO;BOLZAN, PATRIZIA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924757	2011	DI VASO IN FIORE	FINESSI, GIUSEPPE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/583475	2011	L’unità d’Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana	MAZZANTI, ANNA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/586879	2011	Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015	CONCILIO, GRAZIA;RIZZO, FRANCESCA	
