title,author,year,type,keywords,cluster
Culture visive,"BUCCHETTI, VALERIA LUISA",2007,06.1 Curatela,-,nocluster
Packaging: tra vista e tatto,"BUCCHETTI, VALERIA LUISA",2007,06.1 Curatela,-,nocluster
Creative Communities. People inventing sustainable ways of living.,"MERONI, ANNA",2007,06.1 Curatela,"Sustainability - Design Research
Social Innovation
Service Design",nocluster
"Abitare la complessità: Branson Coates, Coop Himmelblau, Daniel Libeskind, M&M, Mecanoo, Naga Studio, NL Architects, ODBC, R&Sie, RUR, SMAQ architects, Tomorrow, UNStudio. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 01","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI",2007,06.1 Curatela,-,nocluster
"Architetture sostenibili: Behnisch & Partner, Mario Cucinella, FOA, Zaha Hadid, LAB Architecture, Manfredi Nicoletti, ODBC, Petzinka-Pink, R&Sie, Samyn and Partners, Synthesis & Research. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 02","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI",2007,06.1 Curatela,-,nocluster
"Europa, Oceania e Far-East: strategie di pianificazione per i territori. Testi di G. Padovano, J. Peyrony, L. Porsche, K. Serranos, E. Gianniris, M. Zifou, M. Carta, D. Ronsivalle, F. Vescovi, M. Vliet, J. Goedman, C. Anderton, D. Ciesielska, M. Lasocki, D. Blaganje, M. Benabent, P. McFarland, M. Gunder, R. Lizhi, X. Fei, Y. Jing, K. Moriyasu, Y. Pandya, R. Nair, L. Meng, K. Ong, K. Peng. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 03-04","G. PADOVANO;C. BLASI;NEBULONI, ATTILIO;I. ANASTASIO;V. ARRIGONI",2007,06.1 Curatela,-,nocluster
Ricerca e design per il prodotto moda,"BERTOLA, PAOLA;COLOMBI, CHIARA",2007,06.1 Curatela,-,nocluster
Leonardo. Dagli studi di proporzioni al Trattato della Pittura,"M. Fiorio;MARANI, PIETRO",2007,06.1 Curatela,-,nocluster
MuVi. Video and moving image on synesthesia and visual music,"M. De Cordoba;RICCO', DINA",2007,06.1 Curatela,-,nocluster
Fashion Plus. Un'azione di valorizzazione guidata dal design per le PMI del territorio regionale e miliano,"BERTOLA, PAOLA;MAFFEI, STEFANO",2007,06.1 Curatela,-,nocluster
