title,author,year,type,keywords,cluster
L’Ile de la cité - Il disegno degli interni urbani come strategia d’intervento,"CRESPI, LUCIANO;ANZANI, ANNA;STUDER, LUCA PASINO;COLOMBO, ALESSANDRO;CRIPPA, DAVIDE;Guixé, M.;Migliore, I.;POGLIANI, OSVALDO;TRENTIN, LUIGI",2017,02.1 Contributo in Volume,-,nocluster
SERVICE DESIGN FOR INTERCULTURAL DIALOG. MAKING A STEP TOWARDS A MULTICULTURAL SOCIETY.,"PILLAN, MARGHERITA;SUTEU, IRINA MARIA",2013,02.1 Contributo in Volume,-,nocluster
"La storia negli oggetti (Mamma, la storia!)","TONELLI, MARIA CRISTINA",2016,02.1 Contributo in Volume,-,nocluster
Maps and Tools for Advance Design,"DESERTI, ALESSANDRO",2015,02.1 Contributo in Volume,"Engineering (all); Economics, Econometrics and Finance (all)2001 Economics, Econometrics and Finance (miscellaneous); Business, Management and Accounting (all); Arts and Humanities (all)",nocluster
"Tipi, modelli e influssi di scuola tra Emilia e Lombardia nelle quadrature del palazzo comunale di Bologna","AMORUSO, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Le quadrature “Emiliane” di Palazzo Crivelli a Milano,"AMORUSO, GIUSEPPE;GALLONI, LAURA",2016,02.1 Contributo in Volume,-,nocluster
Ways of Seeing Data: Toward a Critical Literacy for Data Visualizations as Research Objects and Research Devices,"Gray, Jonathan;Bounegru, Liliana;Milan, Stefania;CIUCCARELLI, PAOLO",2016,02.1 Contributo in Volume,-,nocluster
L'archivio di Impresa come Attivatore di Identità e Conoscenza,"VACCA, FEDERICA",2016,02.1 Contributo in Volume,-,nocluster
The Relief-Perspectives of Bitonti and Borromini: Design and Representation of the Illusory Space,"AMORUSO, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Managing the Creative Process,"BERTOLA, PAOLA;COLOMBI, CHIARA;VACCA, FEDERICA",2017,02.1 Contributo in Volume,-,nocluster
"SoftAssertions: A Progressive Paradigm for Urban Cultural Heritage, Interior Urbanism, and Interior Design","DI SABATINO, PETER ARTHUR",2016,02.1 Contributo in Volume,-,nocluster
Vittorio Pica fra le pagine de «Il Marzocco»,"MAZZANTI, ANNA",2016,02.1 Contributo in Volume,"simbolismo, idealismo, critica d'arte, esposizioni",nocluster
