dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.medium;dc.title;dc.subject.keywordsita;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1007206;ita;2016;-0;-0;Maggioli S.p.A.;-0;Santarcangelo di Romagna;-0;Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;4;"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1008790;eng;2016;Nessuno;-0;DESIS Philosophy Talks - Dipartimento di Design, Politecnico di Milano;ITA;Milano;ELETTRONICO;The Pearl Diver. The Designer as Storyteller;-0;storytelling, design, social innovation, philosophy, DESIS Philosophy Talks;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/openAccess;4;"BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA;Tassinari, Virginia";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1010664;ita;2016;-0;-0;MACRO;-0;Milano;-0;SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE.;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;4;"MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1014983;ita;2016;Comitato scientifico;-0;Bruno Mondadori;ITA;Milano-Torino;STAMPA;Spazio pubblico e attrattività urbana. L'Isola e le sue piazze;spazio pubblico;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/openAccess;3;"BRUZZESE, MARIA ANTONELLA;GEROSA, GIULIA MARIA;TAMINI, LUCA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1016673;ita;2016;-0;-0;Electa;ITA;Milano;STAMPA;Il design e gli interni di Franco Albini;-0;Albini;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;2;"BUCCI, FEDERICO;BOSONI, GIAMPIERO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1018379;ita;2016;-0;-0;FrancoAngeli;ITA;Milano;STAMPA;Adapting Reuse. Strategie di conversione d'uso degli interni e di rinnovamento urbano;-0;Adaptive Reuse, Urban Regeneration, Interior Design, Change of Use, Re-use;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;CAMOCINI, BARBARA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1018817;eng;2016;-0;-0;Mc Graw HILL;ITA;Milano;STAMPA;"Moving design
The flow of people in the cities of the future";mobilità, trasporti, smart cities, commuting, territorio, design, strategie territoriali;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;BRUNO, DAVIDE MARIA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1019052;ita;2016;-0;-0;Corriere della Sera e Politecnico di Milano;ITA;-0;STAMPA;MICHELE DE LUCCHI;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;DE LUCCHI, MICHELE;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1019544;spa;2016;-0;-0;Editorial Designio;MEX;Città del Messico;STAMPA;Diseňo de productos ambientalmente sustentables;-0;design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;2;"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1019554;eng;2016;Esperti anonimi;-0;IGI Global;USA;Hershey, PA 17033-1240, USA;ELETTRONICO;Handbook of Research on Visual Computing and Emerging Geometrical Design Tools;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/openAccess;1;AMORUSO, GIUSEPPE;;;;;;;;;;
