dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.place;dc.publisher.country;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245203;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Seul;9th World Conference on Transport Research;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/245750;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Torino;La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS);;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/261093;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Wellington, New Zealand;World Building Congress, Wellington, New Zealand;;-0;04.1 Contributo in Atti di convegno;none;3;"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/262620;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Torino;La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS);;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/267912;eng;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Cambridge;120 Round Table European Conference of Ministers of Transport CEMT/OECD;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/272263;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Bruxelles;Trans Talk Workshop, EEC;;-0;04.1 Contributo in Atti di convegno;none;1;PONTI, MARCO GUIDO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/272264;-0;2001;-0;nazionale;-0;-0;-0;-0;-0;-0;Ancona;Politiche economiche per il sistema dei trasporti e della logistica;;-0;04.1 Contributo in Atti di convegno;none;2;"MALGIERI, PATRIZIA;PONTI, MARCO GUIDO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/274019;eng;2001;-0;internazionale;-0;Londra;-0;-0;-0;-0;-0;Affective Human Factors Design Conference;;-0;04.1 Contributo in Atti di convegno;none;1;BERTOLA, PAOLA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/502852;-0;2001;-0;internazionale;-0;-0;-0;ICAR 2001, International Conference on Advanced Robotics;-0;-0;-0;ICAR 2001, International Conference on Advanced Robotics;;-0;04.1 Contributo in Atti di convegno;none;5;"ROVETTA, ALBERTO;CANINA, MARIA RITA;PAOLO ALLARA;GIOVANNI CAMPA;SERGIO DELLA SANTINA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/509650;eng;2001;-0;internazionale;Liguori Editore;NAPOLI;ITA;MSSU, Microgravity and Space Station Utilization;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;1;DOMINONI, ANNALISA;;;;;;;;
