dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/645335;deu;2005;-0;iF International Forum Design;-0;-0;-0;-0;Hannover;iF Product Design Award;Sistema per ufficio MDL;design; ufficio;07.13 Progetti;info:eu-repo/semantics/closedAccess;1;DE LUCCHI, MICHELE;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667397;eng;2005;-0;Europan association-city of antalya;-0;-0;-0;-0;Antalya, Turkey;Concorso Internazionale Europan 8;Concorso Internazionale Europan 8, “Urbanità europea e progetti strategici”, sito di Antalya, Turchia;-0;07.13 Progetti;none;3;"E. Avallone;G. Forte;PIERLUISI, GABRIELE";;;;;
07 ALTRO::07.03 Design;http://hdl.handle.net/11311/958790;ita;2006;-0;-0;-0;-0;-0;-0;-0;-0;René Magritte. L'impero delle luci;-0;07.03 Design;info:eu-repo/semantics/openAccess;2;"GADDI, ROSSANA;MARIANI, CIRO";;;;;
07 ALTRO::07.05 Esposizione;http://hdl.handle.net/11311/690252;eng ita;2006;-0;-0;-0;-0;-0;-0;-0;-0;New Italian Design;Design italiano; Design; Allestimenti; Interni;07.05 Esposizione;info:eu-repo/semantics/closedAccess;3;"BRANZI, ANDREA;BIAMONTI, ALESSANDRO;Macchi D.";;
07 ALTRO::07.06 Mostra;http://hdl.handle.net/11311/758849;-0;2006;-0;-0;-0;-0;-0;-0;-0;-0;Texture & Materials – Urban Light Walk;-0;07.06 Mostra;none;1;GEROSA, GIULIA MARIA;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/252025;-0;2006;nazionale;-0;-0;-0;-0;-0;-0;-0;Puntare sulla gente per vendere di più;-0;07.12 Altro;none;1;ZURLO, FRANCESCO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/268468;-0;2006;nazionale;-0;-0;-0;-0;-0;-0;-0;New Entertainment e Design Strategico;-0;07.12 Altro;none;1;ZURLO, FRANCESCO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533312;-0;2006;-0;-0;-0;-0;-0;-0;-0;-0;A.D.A. Archivio Digitale di Architettura;-0;07.12 Altro;none;7;"R. MINGUCCI;AMORUSO, GIUSEPPE;R. INGLESE;A. MARATA;G. BACCI;C. BARTOLOMEI;D. ANGELILLO";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533523;ita;2006;nazionale;-0;-0;-0;Magazine online;-0;-0;-0;Moda e Design: Cross Fertilization per l'innovazione;-0;07.12 Altro;none;2;"CONTI, GIOVANNI MARIA;BERTOLA, PAOLA";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533556;ita;2006;nazionale;-0;-0;-0;D.A. DYNAMICAIR, la rivista per superare le barriere culturali;-0;-0;-0;Fit-Suit: Biodesign per l’idrokinesiterapia;-0;07.12 Altro;none;2;"CANINA, MARIA RITA;FERRARO, VENERE";;;;;
