dc.publisher.place;dc.type.referee;dc.publisher.country;item.collection;item.openaireRights;dc.subject.keywordsita;dc.language.iso;dc.subject.keywords;dc.identifier.uri;dc.date.issued;dc.type.full;dc.relation.ispartofbook;item.journal.title;dc.title;dc.relation.medium;dc.description.numberofauthors;dc.publisher.name;dc.authority.people;dc.type.circulation;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018223;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;JOURNAL OF THE INTERNATIONAL COLOUR ASSOCIATION;The colour consultant training for the future: a holistic view of design and technologies;ELETTRONICO;4;-0;"ROSSI, MAURIZIO;Rizzi, Alessandro;Bonanomi, Cristian;SINISCALCO, ANDREA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018224;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;LUCE;The evaluation of flicker in LED lighting systems - La valutazione del flicker nei sistemi di illuminazione a LED;STAMPA;2;-0;"MUSANTE, FULVIO;ROSSI, MAURIZIO";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1018545;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Envision the nocturnal territory: Urban lighting as a design strategy for the recovery of places;ELETTRONICO;2;-0;"GENTILI, HELENA;CASCIANI, DARIA";-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;;-0;http://hdl.handle.net/11311/1018547;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;LUCE;LUCE;GENIUS LUCI - Il primo museo di illuminazione urbana all’EUR di Roma;STAMPA;3;-0;"D'Alesio, Carlo;GENTILI, HELENA;CASCIANI, DARIA";-0;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1018685;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Milano, Zona Tortona. Understanding a place branding strategy built upon history, visions and design.;ELETTRONICO;2;-0;"SEDINI, CARLA;FOIS, LUCA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018730;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Editoriale #13. Which Design for which Territories?;ELETTRONICO;2;-0;"PARENTE, MARINA;SEDINI, CARLA";-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018732;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Design for Territories as reflective practice;ELETTRONICO;1;-0;PARENTE, MARINA;-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018785;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;STRATEGIC DESIGN RESEARCH JOURNAL;Policy constellations as ecosystems of design actions: Exploring three cases of social innovation policies in Italy;ELETTRONICO;2;-0;"SELLONI, DANIELA;MANZINI, EZIO";-0;;;;;;;;;;;;;;
-0;Sì, ma tipo non specificato;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;Design degli Interni, Abitare, Società;ita;-0;http://hdl.handle.net/11311/1018916;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;IL CORRIERE DELLA SERA;"Crolla un ""muro"". In soggiorno una società fluida";STAMPA;1;-0;GUERRINI, LUCA;-0;;;;;;;;;;;;;;
-0;Esperti anonimi;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1019018;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;OPEN LIBRARY OF HUMANITIES;Opening the Black Box of Scholarly Communication Funding: A Public Data Infrastructure for Financial Flows in Academic Publishing;ELETTRONICO;3;-0;"Lawson, Stuart;Gray, Jonathan;MAURI, MICHELE";-0;;;;;;;;;;;;;;
