title,author,year,type,keywords,cluster
Masters of Ceremonies. A design approach to participatory video,"PIREDDA, FRANCESCA;BERTOLOTTI, ELISA;VENDITTI, SIMONA",2017,01.1 Articolo in Rivista,-,nocluster
Storytelling in design for social innovation and politics: a reading through the lenses of Hannah Arendt,"Virginia Tassinari;Francesca Piredda;BERTOLOTTI, ELISA",2017,01.1 Articolo in Rivista,Hannah Arendt,nocluster
Empathy and Design. A new perspective,"DEVECCHI, ALICE;GUERRINI, LUCA",2017,01.1 Articolo in Rivista,-,nocluster
Methodological contributions to conservation and restoration of an inhabited interior. The case study of the University Campus by Giancarlo De Carlo in Urbino,"BARATIN, LAURA;DEVECCHI, ALICE;Gasparetto, F.;Moretti, E.",2017,01.1 Articolo in Rivista,-,nocluster
IN MIGRANTS’ SHOES. A GAME TO RAISE AWARENESS AND SUPPORT LONG-LASTING LEARNING,"Antonacci, Francesca;BERTOLO, MARESA;MARIANI, ILARIA",2017,01.1 Articolo in Rivista,-,nocluster
"Design actions with resilient local communities: Goals, drivers and tools","FASSI, DAVIDE;SEDINI, CARLA",2017,01.1 Articolo in Rivista,-,nocluster
Designing diagrams for Wikipedia,"MAURI, MICHELE;PINI, AZZURRA;CIUCCARELLI, PAOLO",2017,01.1 Articolo in Rivista,-,nocluster
Strategies in Design for social innovation within Alto Vale Project,"PRESTES JOLY, MAÍRA;Ricardo Straioto;Luiz Fernando Figueiredo",2014,01.1 Articolo in Rivista,-,nocluster
Persuasive Technology as key to increase Working Health Condition. The Case study of a Wearable System to prevent Respiratory Disease,"FERRARO, VENERE;STEPANOVIC, MILA;FERRARIS, SILVIA DEBORAH",2017,01.1 Articolo in Rivista,"Persuasive technology, wearable technology, health, human- centred approach",nocluster
A didactic tool for gender-sensitive practices in design education,"REINA, MARTA ISABELLA;BUCCHETTI, VALERIA LUISA",2017,01.1 Articolo in Rivista,-,nocluster
The Present Future In Fashion Design: The Archive As A Tool For Anticipation,"COLOMBI, CHIARA;VACCA, FEDERICA",2016,01.1 Articolo in Rivista,-,nocluster
Non c'è Italia senza spine,"IRACE, FULVIO",2017,01.1 Articolo in Rivista,-,nocluster
"Modello quantitativo per lo studio dell’accessibilità ferroviaria con veicolo bimodale in condizioni di emergenza
A quantitative model for the analysis of railway accessibility with bimodal vehicle in emergency conditions","BORGHETTI, FABIO;CALABRESE, VERONICA;MAJA, ROBERTO",2017,01.1 Articolo in Rivista,-,nocluster
Design for Social Enterprises: How Design Thinking Can Support Social Innovation within Social Enterprises.,"SELLONI, DANIELA;CORUBOLO, MARTA",2017,01.1 Articolo in Rivista,-,nocluster
"Il luogo dei ""miracoli"": il Refettorio delle Grazie e il Cenacolo di Leonardo","Marani, P.",2017,01.1 Articolo in Rivista,-,nocluster
Teleworking and the Adaptive Reuse of Urban Interiors: The Fragmentation and Re-concentration of the Workplace,"CAMOCINI, BARBARA",2011,01.1 Articolo in Rivista,-,nocluster
Dressing up for space,"DOMINONI, ANNALISA;Quaquaro, Benedetto",2017,01.1 Articolo in Rivista,-,nocluster
"Fashion in Orbit. Fashion, technology, and inspiration from Space.",A. Dominoni,2017,01.1 Articolo in Rivista,-,nocluster
Ipotesi e ricerche percettive nel tessuto urbano. Intervista a Carlo Bernardini,"Tibúrcio, I. H.",2017,01.1 Articolo in Rivista,-,nocluster
Ipotesi e ricerche percettive nel tessuto urbano. Intervista a Paolo Scirpa,"Tibúrcio, I. H.",2017,01.1 Articolo in Rivista,-,nocluster
New Concept Design for an Event Cruise Ship,Silvia Piardi;Luca Mori;Matteo Attardo;Davide Cornetto;Stefano Vicari,2017,01.1 Articolo in Rivista,-,nocluster
Light use efficiency for vegetables production in protected and indoor environments,"Cocetta, Giacomo;Casciani, Daria;Bulgari, Roberta;Musante, Fulvio;KoÅ‚ton, Anna;Rossi, Maurizio;Ferrante, Antonio",2017,01.1 Articolo in Rivista,-,nocluster
E-LEARNING AND DESIGN PRACTICE. Tools and methods for professional learning of strategic design approach,Arianna Vignati;Luca Fois;Michele Melazzini;Xue Pei;Francesco Zurlo,2017,01.1 Articolo in Rivista,"Strategic Design, learning experience, e-learning, practice based approach, professional learning",nocluster
Making Visible: Valuating the Impacts of Design Intervention for Social Cooperative,Xue Pei;Francesco Zurlo;Arianna Vignati;Luca Fois;Michele Melazzini,2017,01.1 Articolo in Rivista,"design strategy, organisational change, social cooperative, evaluation",nocluster
Nuovi interni di luce. Un approccio parametrico al lighting design di superfici architettoniche luminose,D. Casciani,2017,01.1 Articolo in Rivista,-,nocluster
Benedetto Luti in Arcadia e al Domino Club.,R. Maffeis,2017,01.1 Articolo in Rivista,-,nocluster
Visual Geolocations. Repurposing online data to design alternative views,"Colombo, Gabriele;Ciuccarelli, Paolo;Mauri, Michele",2017,01.1 Articolo in Rivista,-,nocluster
Corpi digitali - Un campionario di tecniche di produzione. Digital bodies - An inventory of production techniques,"G. Colombo;BARDELLI, FEDERICA;DE GAETANO, CARLO ALESSANDRO MORGAN",2017,01.1 Articolo in Rivista,-,nocluster
A smart wearable sensor system for counter-fighting overweight in teenagers,"Standoli, Carlo Emilio;Guarneri, Maria Renata;Perego, Paolo;Mazzola, Marco;Mazzola, Alessandra;Andreoni, Giuseppe",2016,01.1 Articolo in Rivista,"Co-design; Lifestyle monitoring; Smart garment design; Teenagers; Wearable sensors; Analytical Chemistry; Atomic and Molecular Physics, and Optics; Biochemistry; Instrumentation; Electrical and Electronic Engineering",nocluster
Ricerca come progetto,Finessi,2017,-,-,nocluster
Tunnel stradali - L’analisi costi-benefici come strumento per l’adeguamento,F. Borghetti,2017,01.1 Articolo in Rivista,analisi costi benefici,nocluster
Tra tecnica e creatività: design ed esperimenti con il taglio laser,"Deserti, A;Galimberti, G;MERCIAI, MATILDE;Previtali, B;Rognoli, V.",2015,01.1 Articolo in Rivista,-,nocluster
Campus in Camps. Decolonizing Knowledge and the Question of Un-learning,S. Franceschini;L. Guerrini,2017,01.1 Articolo in Rivista,-,nocluster
Designing Design Education. An articulated programme of collective open design activities,"Collina, Luisa;Galluzzo, Laura;Maffei, Stefano;MONNA, VANESSA",2017,01.1 Articolo in Rivista,-,nocluster
"MAKERS AS A NEW WORK CONDITION BETWEEN
SELF-EMPLOYMENT AND COMMUNITY PEER-PRODUCTION.
INSIGHTS FROM A SURVEY ON MAKERS IN ITALY.","menichinelli, massimo;bianchini, massimo;carosi, alessandra;maffei, stefano",2017,01.1 Articolo in Rivista,-,nocluster
"Principles and applications. Consistency and experimentation in the work of Piero Bottoni, from the “Cromatismi” to Sesto San Giovanni - Principi e applicazioni. Coerenza e sperimentazione nell’opera di Piero Bottoni, dai “Cromatismi” a Sesto San Giovanni",Maria Pompeiana Iarossi;Giampiero Mele;Michela Rossi,2017,01.1 Articolo in Rivista,-,nocluster
The design of stereotype and the image,M. Roxburgh;E. Caratti,2017,01.1 Articolo in Rivista,-,nocluster
Nuove politiche di sviluppo locale. Il ruolo dell’imprenditoria sociale e del design for policy.,"DI DIO, DENISE;M. Mortati",2017,01.1 Articolo in Rivista,-,nocluster
"Ultrasound System Typologies, User Interfaces and Probes Design: A Review","Andreoni, G;Mazzola, M;Matteoli, S;D’Onofrio, S;Forzoni, L.",2015,01.1 Articolo in Rivista,-,nocluster
L'A.N.G.E.L.O. DEL VINTAGE,"BERTOLA, P.",2005,01.1 Articolo in Rivista,-,nocluster
Storiepossibili (possible stories): Measuring social networks and designing scenarios to address new urban questions,"GIUNTA, ELENA ENRICA;GALEAZZI, CHIARA;Agnese Rebaglio;SIMEONE, GIULIA",2017,01.1 Articolo in Rivista,-,nocluster
Bottom-up Infrastructures: Aligning Politics and Technology in building a Wireless Community Network,"Crabu, Stefano;Magaudda, Paolo",2018,01.1 Articolo in Rivista,-,nocluster
In this issue,"Mora, Emanuela;Rocamora, Agnès;Volonté, Paolo",2017,01.1 Articolo in Rivista,-,nocluster
Il contributo dell’Actor-Network Theory alla discussione sull’agency degli oggetti,P. Volonte',2017,01.1 Articolo in Rivista,-,nocluster
Ospedale 4.0: il ruolo del design nel progetto Apoteca,M. Ferrara;L. De Bartolomeis,2017,01.1 Articolo in Rivista,Ruolo del design,nocluster
From Science to Design: the Design4Materials virtuous cycle,R. Carullo;C. Cecchini;M. Ferrara;C. Langella;S. Lucibello,2017,01.1 Articolo in Rivista,-,nocluster
Parco della Preistoria a Rivolta d’Adda,M. T. Feraboli,2009,01.1 Articolo in Rivista,-,nocluster
I restauri del Duomo di Crema,M. T. Feraboli,2002,01.1 Articolo in Rivista,-,nocluster
