title,author,year,type,keywords,cluster
"Ricerca, Design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli","CAPPELLIERI, ALBA;BERTOLA, PAOLA",2002,03.1 Monografia o trattato scientifico,-,nocluster
"Ron Arad: arte, architettura, design.","CAPPELLIERI, ALBA",2008,03.1 Monografia o trattato scientifico,ron arad; alba cappellieri; design; arte; architettura,nocluster
design della comunicazione ipertestuale,"BERTOLO, MARESA",2002,03.1 Monografia o trattato scientifico,-,nocluster
Flash! Percorso guidato per le animazioni interattive,"BERTOLO, MARESA;DE LUCA V;GRASSI A;LOCHIS G.",2006,03.1 Monografia o trattato scientifico,"Animazione interattiva
Computer Grafica
Programmazione
Multimedia",nocluster
Bruno Morassutti.Quattro Realizzazioni Un percorso metodologico,"SCULLICA, FRANCESCO",1999,03.1 Monografia o trattato scientifico,-,nocluster
I disegni di Leonardo da Vinci e della sua cerchia nelle collezioni pubbliche in Francia,"MARANI;MARANI, PIETRO",2008,03.1 Monografia o trattato scientifico,Leonardo; Disegni; Musei francesi; collezionismo,nocluster
Sussidiario di semiotica. In dieci lezioni e duecento immagini,"ZINGALE, SALVATORE;BONFANTINI M. A;BRAMATI J.",2007,03.1 Monografia o trattato scientifico,-,nocluster
"Gioco, dialogo, design. Una ricerca semiotica","ZINGALE, SALVATORE",2009,03.1 Monografia o trattato scientifico,Semiotica; Design; Gioco; Dialogo; Logica.,nocluster
“Design: progettazione continua: nuove tecniche di sviluppo dei prodotti industriali”,"BRUNO, DAVIDE MARIA",1999,03.1 Monografia o trattato scientifico,-,nocluster
"Learning design by design Experience, Poli.design Editore, Milano 2005","BRUNO, DAVIDE MARIA",2005,03.1 Monografia o trattato scientifico,-,nocluster
"Cultura, finanza, politica: verso una nuova speranza progettuale","BRUNO, DAVIDE MARIA",2008,03.1 Monografia o trattato scientifico,finanza; cultura; design; politica; architettura; speculazioni; fondi investimento,nocluster
Eyewear design : sviluppo del prodotto e organizzazione della produzione nel settore degli occhiali tra risorse locali e mercato globale,"CIUCCARELLI, PAOLO;SEASSARO A.;CELASCHI F.",1998,03.1 Monografia o trattato scientifico,-,nocluster
Oltre la moda. Storia del progetto Moda,"CONTI, GIOVANNI MARIA",2008,03.1 Monografia o trattato scientifico,design di moda,nocluster
BioDesign: il corpo come luogo del progetto,"CANINA, MARIA RITA;VICENTINI, FEDERICO",2005,03.1 Monografia o trattato scientifico,-,nocluster
Biorobotica: verso l'Hi Tech design,"CANINA, MARIA RITA",2005,03.1 Monografia o trattato scientifico,-,nocluster
Automobile: glossario dello stile,"TURINETTO, MARCO",2000,03.1 Monografia o trattato scientifico,-,nocluster
Moda e Design. Nuove trasversalità progettuali,"TURINETTO, MARCO",2002,03.1 Monografia o trattato scientifico,-,nocluster
Dizionario del Design,"TURINETTO, MARCO",1993,03.1 Monografia o trattato scientifico,-,nocluster
"NUOVE TRADIZIONI Methodology, Style, Coherence","TURINETTO, MARCO",2008,03.1 Monografia o trattato scientifico,Design; Innovazione; Made in Italy; Processo produttivo,nocluster
LUSSO NECESSARIO Trasformare prodotti e servizi in brand alto di gamma,"TURINETTO, MARCO;GANDINI C.",2008,03.1 Monografia o trattato scientifico,-,nocluster
Il bit e la tartaruga,"PILLAN, MARGHERITA;SANCASSANI S.",2004,03.1 Monografia o trattato scientifico,-,nocluster
Dal progetto al prodotto,"SIMONELLI, GIULIANO",1997,03.1 Monografia o trattato scientifico,-,nocluster
Il  Design per i Distretti industriali,"SIMONELLI, GIULIANO;MAFFEI, STEFANO",2000,03.1 Monografia o trattato scientifico,-,nocluster
Design for District. Progetti per un distretto,"SIMONELLI, GIULIANO;CELASCHI F.;COLLINA, LUISA MARIA VIRGINIA",2001,03.1 Monografia o trattato scientifico,-,nocluster
"Milano distretto del design. Un sistema di luoghi, attori e relazioni al servizio dell’innovazione.","BERTOLA, PAOLA;SANGIORGI, DANIELA;SIMONELLI, GIULIANO",2002,03.1 Monografia o trattato scientifico,-,nocluster
Designing Designers. Training strategies for the third Millennium.,"SIMONELLI, GIULIANO;COLLINA, LUISA MARIA VIRGINIA",2001,03.1 Monografia o trattato scientifico,-,nocluster
Tecnologie Alberghiere. Guida alle tecnologie integrate e coordinate,"SIMONELLI, GIULIANO;PIVA M.;GABAGLIO S.",1999,03.1 Monografia o trattato scientifico,-,nocluster
